start,Beacon,data
START,,
,2,71
,4,64
,1,57
,3,74
START,,
,2,71
,4,64
,1,67
,3,81
START,,
,4,69
,2,79
,3,75
,1,59
START,,
,2,70
,4,79
,1,55
,3,84
START,,
,2,69
,4,66
,3,77
,1,56
START,,
,1,54
,2,72
,4,65
,3,72
START,,
,1,59
,2,74
,4,71
,3,81
START,,
,3,72
,1,58
,2,66
,4,75
START,,
,3,72
,1,60
,2,68
,4,77
START,,
,3,75
,1,59
,2,69
START,,
,4,75
,4,255
,2,75
,3,78
,1,52
START,,
,2,66
,4,71
,1,56
,3,75
START,,
,2,74
,4,71
,3,76
,1,57
START,,
,2,73
,4,68
,3,82
,1,54
START,,
,1,56
,2,68
,4,60
,3,73
START,,
,1,51
,2,69
,4,69
,3,82
START,,
,3,78
,1,55
,2,72
,4,75
START,,
,3,74
,1,55
,2,65
,4,75
START,,
,4,79
,1,57
,2,72
,3,83
START,,
,2,70
,3,81
,1,56
,4,79
START,,
,2,73
,4,81
,3,85
,1,55
START,,
,4,78
,1,59
,2,71
,3,85
START,,
,1,55
,2,74
,3,83
START,,
,4,81
,4,255
,1,56
,2,72
,3,84
START,,
,1,57
,2,71
,4,79
,3,84
START,,
,3,76
,1,57
,2,70
,4,81
START,,
,1,56
,2,76
,4,72
,3,75
START,,
,1,57
,2,76
,4,72
,3,81
START,,
,4,71
,1,53
,3,77
,2,65
START,,
,4,69
,1,52
,2,64
START,,
,3,75
,3,255
,4,76
,1,53
,2,66
START,,
,2,69
,4,73
,3,82
,1,56
START,,
,2,69
,4,78
,3,85
,1,55
START,,
,1,60
,2,72
,4,64
,3,76
START,,
,3,75
,1,58
,2,64
,4,72
START,,
,3,74
,1,59
,2,68
,4,72
START,,
,3,76
,1,63
,2,70
,4,67
START,,
,3,79
,1,58
,2,72
,4,65
START,,
,4,67
,3,80
,1,59
,2,80
START,,
,2,69
,4,80
,1,54
,3,75
START,,
,2,77
,4,68
,3,78
,1,52
START,,
,2,80
,4,72
,3,77
,1,57
START,,
,1,56
,2,68
,4,75
,3,83
START,,
,3,75
,1,53
,2,73
,4,76
START,,
,3,77
,1,58
,2,67
,4,71
START,,
,3,80
,1,53
,2,65
,4,69
START,,
,3,84
,1,58
,2,61
,4,70
START,,
,3,83
,1,60
,2,67
,4,71
START,,
,4,70
,3,75
,1,57
,2,70
START,,
,4,74
,3,77
,1,54
,2,63
START,,
,2,65
,4,68
,3,82
,1,57
START,,
,1,57
,3,81
,2,67
,4,76
START,,
,1,60
,3,73
,2,67
,4,69
START,,
,1,51
,3,74
,2,73
,4,72
START,,
,1,58
,3,75
,2,67
,4,67
START,,
,1,55
,3,74
,2,70
,4,72
START,,
,4,78
,1,81
,3,80
,2,66
START,,
,4,75
,1,59
,3,75
,2,72
START,,
,2,73
,4,71
,1,64
,3,78
START,,
,3,74
,2,72
,4,75
,1,58
START,,
,3,78
,2,66
,4,69
,1,67
START,,
,3,72
,2,70
,4,66
,1,60
START,,
,1,65
,3,71
,2,64
,4,68
START,,
,1,54
,2,76
,4,75
,3,81
START,,
,1,63
,3,74
,2,72
,4,66
START,,
,4,64
,1,62
,3,72
,2,76
START,,
,2,70
,4,74
,1,57
,3,81
START,,
,2,75
,4,80
,1,54
,3,80
START,,
,3,76
,2,68
,4,72
,1,56
START,,
,3,80
,2,67
,4,77
,1,55
START,,
,3,77
,2,69
,4,79
,1,52
START,,
,1,53
,3,83
,2,71
,4,70
START,,
,1,51
,3,78
,2,69
,4,71
START,,
,4,81
,1,55
,3,77
,2,66
START,,
,4,65
,1,56
,3,78
,2,68
START,,
,4,68
,1,56
,3,78
,2,78
START,,
,3,83
,2,69
,1,57
,4,84
START,,
,3,85
,2,69
,4,74
,1,60
START,,
,2,77
,4,66
,1,56
,3,81
START,,
,3,77
,2,75
,4,74
,1,61
START,,
,3,77
,2,69
,4,72
,1,59
START,,
,1,69
,2,70
,3,75
,4,79
START,,
,4,74
,1,68
,3,80
,2,73
START,,
,3,76
,2,69
,4,65
,1,65
START,,
,3,80
,2,71
,4,68
,1,59
START,,
,3,71
,2,71
,4,66
,1,59
START,,
,2,75
,4,76
,1,59
,3,86
START,,
,2,70
,4,74
,1,57
START,,
,2,74
,4,74
,1,55
START,,
,3,85
,3,83
,1,55
,3,255
,4,76
,2,72
START,,
,1,54
,3,78
,2,66
,4,72
START,,
,4,72
,1,54
,3,74
,2,75
START,,
,2,75
,4,72
,1,52
,3,75
START,,
,3,75
,2,67
,4,71
,1,55
START,,
,3,77
,4,75
,1,55
,2,72
